"PlanID","ProductID","Description","Platform","Label"
"302","15034","$100K - Standard - P1 - TL","TradeLocker","2-Step Standard P1 - TL"
"303","15035","$200K - Standard - P1 - TL","TradeLocker","2-Step Standard P1 - TL"
"304","0","$5K - Standard - P2 - TL","TradeLocker","2-Step Standard P2 - TL"
"305","0","$10K - Standard - P2 - TL","TradeLocker","2-Step Standard P2 - TL"
"306","0","$25K - Standard - P2 - TL","TradeLocker","2-Step Standard P2 - TL"
"307","0","$50K - Standard - P2 - TL","TradeLocker","2-Step Standard P2 - TL"
"308","0","$100K - Standard - P2 - TL","TradeLocker","2-Step Standard P2 - TL"
"309","0","$200K - Standard - P2 - TL","TradeLocker","2-Step Standard P2 - TL"
"310","0","$5K - Standard - Funded - TL","TradeLocker","2-Step Standard Funded - TL"
"311","0","$10K - Standard - Funded - TL","TradeLocker","2-Step Standard Funded - TL "
"312","0","$50K - Standard - Funded - TL","TradeLocker","2-Step Standard Funded - TL"
"313","0","$25K - Standard - Funded - TL","TradeLocker","2-Step Standard Funded - TL"
"314","0","$100K - Standard - Funded - TL","TradeLocker","2-Step Standard Funded - TL"
"315","0","$200K - Standard - Funded - TL","TradeLocker","2-Step Standard Funded - TL"
"316","15019","$5K - Nitro - P1 - TL","TradeLocker","1-Step Nitro - P1 - TL"
"317","15015","$10K - Nitro - P1 - TL","TradeLocker","1-Step Nitro - P1 - TL"
"318","15018","$25K - Nitro - P1 - TL","TradeLocker","1-Step Nitro - P1 - TL"
"319","15020","$50K - Nitro - P1 - TL","TradeLocker","1-Step Nitro - P1 - TL"
"320","15016","$100K - Nitro - P1 - TL","TradeLocker","1-Step Nitro - P1 - TL"
"321","15017","$200K - Nitro - P1 - TL","TradeLocker","1-Step Nitro - P1 - TL"
"322","0","$5K - Nitro - Funded - TL","TradeLocker","1-Step Nitro - Funded - TL"
"323","0","$10K - Nitro - Funded - TL","TradeLocker","1-Step Nitro - Funded - TL"
"324","0","$25K - Nitro - Funded - TL","TradeLocker","1-Step Nitro - Funded - TL"
"325","0","$50K - Nitro - Funded - TL","TradeLocker","1-Step Nitro - Funded - TL"
"326","0","$100K - Nitro - Funded - TL","TradeLocker","1-Step Nitro - Funded - TL"
"327","0","$200K - Nitro - Funded - TL","TradeLocker","1-Step Nitro - Funded - TL"
"328","15025","$5k - 1-Step Nitro Pro - TL","TradeLocker","1-Step Nitro Pro - TL"
"329","15021","$10k - 1-Step Nitro Pro - TL","TradeLocker","1-Step Nitro Pro - TL"
"330","15024","$25k - 1-Step Nitro Pro - TL","TradeLocker","1-Step Nitro Pro - TL"
"331","15026","$50k - 1-Step Nitro Pro - TL","TradeLocker","1-Step Nitro Pro - TL"
"332","15022","$100k - 1-Step Nitro Pro - TL","TradeLocker","1-Step Nitro Pro - TL"
"334","0","$5k - 1-Step Nitro Pro Funded - TL","TradeLocker","1-Step Nitro Pro - Funded - TL"
"335","0","$10k - 1-Step Nitro Pro Funded - TL","TradeLocker","1-Step Nitro Pro - Funded - TL"
"336","0","$25k - 1-Step Nitro Pro Funded - TL","TradeLocker","1-Step Nitro Pro - Funded - TL"
"337","0","$50k - 1-Step Nitro Pro Funded - TL","TradeLocker","1-Step Nitro Pro - Funded - TL"
"338","0","$100k - 1-Step Nitro Pro Funded - TL","TradeLocker","1-Step Nitro Pro - Funded - TL"
"339","15109","$5k - Instant Funded - TL","TradeLocker","Instant Funded - TL"
"340","15105","$10k - Instant Funded - TL","TradeLocker","Instant Funded - TL"
"341","15108","$25k - Instant Funded - TL","TradeLocker","Instant Funded - TL"
"342","15110","$50k - Instant Funded - TL","TradeLocker","Instant Funded - TL"
"343","15106","$100k - Instant Funded - TL","TradeLocker","Instant Funded - TL"
"344","15103","$5k - Instant Funded Pro - TL","TradeLocker","Instant Funded Pro - TL"
"345","15099","$10k - Instant Funded Pro - TL","TradeLocker","Instant Funded Pro - TL"
"346","15102","$25k - Instant Funded Pro - TL","TradeLocker","Instant Funded Pro - TL"
"347","15104","$50k - Instant Funded Pro - TL","TradeLocker","Instant Funded Pro - TL"
"348","15100","$100k - Instant Funded Pro - TL","TradeLocker","Instant Funded Pro - TL"
"349","0","$200k - Instant Funded Pro - TL","TradeLocker","Instant Funded Pro - TL"
"350","20391","$5K - Speed - P1 - MetaTrader 5","MetaTrader5","2-Step Speed P1 - MetaTrader 5"
"351","20390","$10K - Speed - P1 - MetaTrader 5","MetaTrader5","2-Step Speed P1 - MetaTrader 5"
"352","20389","$25K - Speed - P1 - MetaTrader 5","MetaTrader5","2-Step Speed P1 - MetaTrader 5"
"353","20388","$50K - Speed - P1 - MetaTrader 5","MetaTrader5","2-Step Speed P1 - MetaTrader 5"
"354","20387","$100K - Speed - P1 - MetaTrader 5","MetaTrader5","2-Step Speed P1 - MetaTrader 5"
"355","20386","$200K - Speed - P1 - MetaTrader 5","MetaTrader5","2-Step Speed P1 - MetaTrader 5"
"356","20385","$5K - Standard - P1 -MetaTrader 5","MetaTrader5","2-Step Standard P1 - MetaTrader 5"
"357","20384","$10K - Standard - P1 - MetaTrader 5","MetaTrader5","2-Step Standard P1 - MetaTrader 5"
"358","20383","$25K - Standard - P1 - MetaTrader 5","MetaTrader5","2-Step Standard P1 - MetaTrader 5"
"359","20382","$50K - Standard - P1 - MetaTrader 5","MetaTrader5","2-Step Standard P1 - MetaTrader 5"
"360","20381","$100K - Standard - P1 - MetaTrader 5","MetaTrader5","2-Step Standard P1 - MetaTrader 5"
"361","20380","$200K - Standard - P1 - MetaTrader 5","MetaTrader5","2-Step Standard P1 - MetaTrader 5"
"362","20352","$5K - Nitro - P1 - MetaTrader 5","MetaTrader5","1-Step Nitro - P1 - MetaTrader 5"
"363","20351","$10K - Nitro - P1 - MetaTrader 5","MetaTrader5","1-Step Nitro - P1 - MetaTrader 5"
"364","20350","$25K - Nitro - P1 - MetaTrader 5","MetaTrader5","1-Step Nitro - P1 - MetaTrader 5"
"365","20349","$50K - Nitro - P1 - MetaTrader 5","MetaTrader5","1-Step Nitro - P1 - MetaTrader 5"
"366","20348","$100K - Nitro - P1 - MetaTrader 5","MetaTrader5","1-Step Nitro - P1 - MetaTrader 5"
"367","20374","$200K - Nitro - P1 - MetaTrader 5","MetaTrader5","1-Step Nitro - P1 - MetaTrader 5"
"372","20379","$5k - 1-Step Nitro Pro - MetaTrader 5","MetaTrader5","1-Step Nitro Pro - MetaTrader 5"
"373","20378","$10k - 1-Step Nitro Pro - MetaTrader 5","MetaTrader5","1-Step Nitro Pro - MetaTrader 5"
"374","20377","$25k - 1-Step Nitro Pro - MetaTrader 5","MetaTrader5","1-Step Nitro Pro - MetaTrader 5"
